date,평균,평년
2019-11-07,3149,1873
2019-11-08,3273,1873
2019-11-11,3418,1866
2019-11-12,3632,1885
2019-11-13,3645,1919
2019-11-14,3687,1932
2019-11-15,3689,1905
2019-11-18,3639,1897
2019-11-19,3633,1909
2019-11-20,3626,1934
2019-11-21,3590,1944
2019-11-22,3546,1972
2019-11-25,3703,1982
2019-11-26,3894,1981
2019-11-27,4047,2015
2019-11-28,4033,2012
2019-11-29,3879,2022
2019-12-02,3896,2047
2019-12-03,3913,2069
2019-12-04,3880,2092
2019-12-05,3705,2077
2019-12-09,3688,2069
2019-12-10,3668,2070
2019-12-11,3653,2062
2019-12-12,3610,2064
2019-12-13,3675,2054
2019-12-16,3652,2042
2019-12-17,3543,2042
2019-12-18,3460,2043
2019-12-19,3503,2022
2019-12-20,3525,2009
2019-12-23,3491,2008
2019-12-24,3515,2014
2019-12-26,3558,2005
2019-12-27,3650,1991
2019-12-30,3607,1976
2019-10-01,3497,1938
2019-10-02,3407,1929
2019-10-04,3268,1926
2019-10-07,3133,1928
2019-10-08,3050,1944
2019-10-10,2964,1922
2019-10-11,2881,1901
2019-10-14,2828,1867
2019-10-15,2796,1783
2019-10-16,2789,1744
2019-10-17,2742,1704
2019-10-18,2617,1657
2019-10-21,2605,1655
2019-10-22,2556,1680
2019-10-23,2478,1687
2019-10-24,2502,1710
2019-10-25,2383,1648
2019-10-28,2364,1749
2019-10-29,2245,1756
2019-10-30,2151,1813
2019-10-31,2108,1701
2019-11-01,1953,1521
2019-11-04,1941,1505
2019-11-05,1866,1577
2019-11-06,1844,1577
2019-11-07,1832,1564
2019-11-08,1783,1556
2019-11-11,1740,1589
2019-11-12,1721,1588
2019-11-13,1700,1571
2019-11-14,1674,1528
2019-11-15,1604,1525
2019-11-18,1592,1516
2019-11-19,1588,1497
2019-11-20,1573,1484
2019-11-21,1573,1477
2019-11-22,1585,1479
2019-11-25,1585,1482
2019-11-26,1564,1486
2019-11-27,1563,1485
2019-11-28,1577,1484
2019-11-29,1535,1481
2019-12-02,1541,1480
2019-12-03,1526,1492
2019-12-04,1526,1499
2019-12-05,1524,1503
2019-12-09,1475,1505
2019-12-10,1496,1581
2019-12-11,1496,1670
2019-12-12,1496,1715
2019-12-13,1440,1823
2019-12-16,1440,2012
2019-12-17,1440,1895
2019-12-18,1511,1895
2019-12-19,1513,1870
2019-12-20,1516,1840
2019-12-23,1524,1850
2019-12-24,1521,1598
2019-12-26,1523,1594
2019-12-27,1492,1572
2019-12-30,1488,1610
2019-12-31,1498,1441
2019-10-01,1475,1440
2019-10-02,1459,1428
2019-10-04,1457,1426
2019-10-07,1456,1444
2019-10-08,1454,1438
2019-10-10,1454,1420
2019-10-11,1395,1411
2019-10-14,1393,1403
2019-10-15,1406,1381
2019-10-16,1393,1384
2019-10-17,1367,1384
2019-10-18,1429,1375
2019-10-21,1414,1375
2019-10-22,1413,1385
2019-10-23,1435,1389
2019-10-24,1415,1387
2019-10-25,1424,1382
2019-10-28,1421,1390
2019-10-29,1398,1449
2019-10-30,1386,1461
2019-10-31,1399,1473
2019-11-01,1409,1481
2019-11-04,1422,1495
2019-11-05,1400,1661
2019-11-06,1403,1698
2019-11-07,1412,1711
2019-11-08,1394,1693
2019-11-11,1394,1684
2019-11-12,1399,1677
2019-11-13,1399,1672
2019-11-14,1399,1654
2019-11-15,1386,1644
2019-11-18,1372,1636
2019-11-19,1293,1632
2019-11-20,1299,1631
2019-11-21,1318,1634
2019-11-22,1316,1639
2019-11-25,1326,1644
2019-11-26,1354,1647
2019-11-27,1346,1666
2019-11-28,1350,1669
2019-11-29,1344,1674
2019-12-02,1349,1677
2019-12-03,1339,1676
2019-12-04,1339,1673
2019-12-05,1342,1673
2019-12-09,1346,1671
2019-12-10,1345,1671
2019-12-11,1339,1665
2019-12-12,1327,1674
2019-12-13,1327,1674
2019-12-16,1327,1669
2019-12-17,1282,1653
2019-12-18,1272,1645
2019-12-19,1270,1638
2019-12-20,1252,1636
2019-12-23,1246,1635
2019-12-24,1330,1634
2019-12-26,1320,1633
2019-10-01,1326,1639
2019-10-02,1333,1641
2019-10-04,1337,1642
2019-10-07,1328,1642
2019-10-08,1329,1642
2019-10-10,1323,1653
2019-10-11,1318,1658
2019-10-14,1315,1662
2019-10-15,1330,1675
2019-10-16,1337,1693
2019-10-17,1342,1716
2019-10-18,1342,1727
2019-10-21,1348,1733
2019-10-22,1357,1732
2019-10-23,1364,1736
2019-10-24,1351,1758
2019-10-25,1348,1765
2019-10-28,1345,1766
2019-10-29,1295,1771
2019-10-30,1286,1773
2019-10-31,1313,1761
2019-11-01,1338,1762
2019-11-04,1482,1760
2019-11-05,1517,1767
2019-11-06,1504,1775
2019-11-07,1528,1785
2019-11-08,1549,1755
2019-11-11,1561,1727
2019-11-12,1576,1741
2019-11-13,1576,1783
2019-11-14,1594,1735
2019-11-15,1543,1973
2019-11-18,1543,1935
2019-11-19,1536,1992
2019-11-20,1639,1975
2019-11-21,1672,2036
2019-11-22,1682,2023
2019-11-25,1653,1885
2019-11-26,1682,1933
2019-11-27,1680,1937
2019-11-28,1675,1932
2019-11-29,1652,1880
2019-12-02,1675,1853
2019-12-03,1636,1846
2019-12-04,1621,1848
2019-12-05,1551,1834
2019-12-09,1560,1813
2019-12-10,1560,1811
2019-12-11,1560,1819
2019-12-12,1543,1820
2019-12-13,1677,1812
2019-12-16,1669,1785
2019-12-17,1666,1770
2019-12-18,1670,1770
2019-12-19,1669,1768
2019-12-20,1658,1764
2019-12-23,1658,1763
2019-12-24,1658,1747
2019-12-26,1658,1736
2019-12-27,1661,1722
2019-12-30,1623,1716
2019-12-31,1622,1698
2019-10-01,1625,1705
2019-10-02,1625,1712
2019-10-04,1625,1721
2019-10-07,1609,1728
2019-10-08,1609,1733
2019-10-10,1623,1755
2019-10-11,1623,1762
2019-10-14,1628,1761
2019-10-15,1630,1756
2019-10-16,1636,1756
2019-10-17,1622,1760
2019-10-18,1607,1759
2019-10-21,1599,1771
