,날짜,평균,평년,현재일기,현재기온,이슬점온도,체감온도,강수량,습도,풍향,풍속,해면기압,태풍,태풍영향8,태풍영향10,태풍영향12,태풍영향14,태풍영향16,태풍영향18,태풍영향20
165,2015-09-01,1832,2194,-,26.6,18.7,75.0,6.5,62.0,서북서,10.4,1009.9,0,o,o,o,o,o,o,o
166,2015-09-02,1813,2198,-,28.5,19.4,77.0,0.5,58.0,남동,10.1,1013.2,0,o,o,o,o,o,o,o
167,2015-09-03,1774,2207,-,26.6,20.4,76.0,0.5,69.0,서,4.7,1010.0,0,o,o,o,o,o,o,o
168,2015-09-04,1769,2212,-,29.2,17.7,77.0,0.0,50.0,남남서,9.7,1012.3,0,o,o,o,o,o,o,o
169,2015-09-07,1785,2209,-,27.2,11.2,73.0,0.0,37.0,서남서,7.6,1011.4,0,x,o,o,o,o,o,o
170,2015-09-08,1795,2213,-,26.6,9.8,72.0,0.0,35.0,서,9.0,1014.8,0,x,o,o,o,o,o,o
171,2015-09-09,1777,2217,-,28.8,8.4,74.0,0.0,28.0,서남서,5.4,1013.3,0,x,x,o,o,o,o,o
172,2015-09-10,1716,2233,-,27.7,9.4,73.0,0.0,32.0,남남동,12.2,1013.3,0,x,x,o,o,o,o,o
173,2015-09-11,1687,2232,-,28.1,12.8,74.0,0.0,39.0,남서,13.0,1009.9,0,x,x,x,o,o,o,o
174,2015-09-14,1702,2248,-,24.8,7.8,70.0,0.0,34.0,동북동,6.8,1019.7,0,x,x,x,o,o,o,o
175,2015-09-15,1679,2246,-,24.8,10.6,71.0,0.0,41.0,서북서,5.0,1020.4,0,x,x,x,x,o,o,o
176,2015-09-16,1669,2254,-,24.2,13.4,71.0,0.0,51.0,동,5.0,1016.4,0,x,x,x,x,o,o,o
177,2015-09-17,1597,2271,-,19.7,18.7,67.0,38.5,94.0,북북서,8.3,1015.2,0,x,x,x,x,x,o,o
178,2015-09-18,1577,2286,-,26.7,13.4,73.0,0.0,44.0,남남서,4.7,1016.4,0,x,x,x,x,x,o,o
179,2015-09-21,1504,2293,-,28.2,16.1,76.0,0.0,48.0,남,8.6,1014.0,0,x,x,x,x,x,x,o
180,2015-09-22,1505,2262,-,26.2,13.9,73.0,0.0,47.0,남동,18.0,1016.4,0,x,x,x,x,x,x,o
181,2015-09-23,1512,2248,-,19.2,18.5,66.0,1.0,96.0,북서,10.4,1011.6,0,x,x,x,x,x,x,x
182,2015-09-24,1537,2256,-,22.9,17.5,71.0,1.0,72.0,북서,6.5,1006.2,0,x,x,x,x,x,x,x
183,2015-09-25,1518,2283,-,26.1,15.1,73.0,0.0,51.0,서,4.0,1006.2,0,x,x,x,x,x,x,x
184,2015-09-30,1486,2387,-,21.5,10.9,67.0,0.0,51.0,남동,9.4,1023.4,0,x,x,x,x,x,x,x
185,2015-10-01,1496,2390,-,25.1,24.2,25.1,26.5,95.0,서,23.8,998.0,0,x,x,x,x,x,x,x
186,2015-10-02,1469,2398,-,22.2,-1.8,22.2,0.0,20.0,북서,14.4,1014.3,0,x,x,x,x,x,x,x
187,2015-10-05,1472,2447,-,26.1,7.6,26.1,0.0,31.0,남,8.6,1022.3,0,x,x,x,x,x,x,x
188,2015-10-06,1445,2445,-,26.1,11.4,26.1,0.0,40.0,남남동,13.3,1019.7,0,x,x,x,x,x,x,x
189,2015-10-07,1451,2449,-,26.2,7.7,26.2,0.0,31.0,남동,8.6,1016.9,0,x,x,x,x,x,x,x
190,2015-10-08,1543,2439,-,24.0,7.5,24.0,0.0,35.0,북서,5.8,1012.3,0,x,x,x,x,x,x,x
191,2015-10-12,1538,2439,-,20.7,2.0,20.7,0.0,29.0,북서,14.8,1016.2,0,x,x,x,x,x,x,x
192,2015-10-13,1538,2465,-,22.2,1.2,22.2,0.0,25.0,서북서,10.8,1020.0,0,x,x,x,x,x,x,x
193,2015-10-14,1449,2441,-,24.6,3.8,24.6,0.0,26.0,서북서,13.0,1019.4,0,x,x,x,x,x,x,x
194,2015-10-15,1383,2405,-,24.9,9.5,24.9,0.0,38.0,남동,12.2,1019.3,0,x,x,x,x,x,x,x
195,2015-10-16,1349,2381,-,23.7,8.9,23.7,0.0,39.0,북서,5.0,1018.4,0,x,x,x,x,x,x,x
196,2015-10-19,1357,2251,-,26.8,8.7,26.8,0.0,32.0,남동,10.8,1016.5,0,x,x,x,x,x,x,x
197,2015-10-20,1359,2221,-,27.1,8.0,27.1,0.0,30.0,남동,8.3,1016.0,0,x,x,x,x,x,x,x
198,2015-10-21,1350,2171,-,25.5,12.6,25.5,0.0,45.0,서,7.6,1017.6,0,x,x,x,x,x,x,x
199,2015-10-22,1356,2153,-,21.7,11.1,21.7,0.0,51.0,동,5.0,1021.7,0,x,x,x,x,x,x,x
200,2015-10-23,1350,2146,-,24.4,9.1,24.4,0.0,38.0,서,6.5,1018.2,0,x,x,x,x,x,x,x
201,2015-10-26,1362,2095,-,20.0,4.8,20.0,0.0,37.0,남동,11.2,1020.7,0,x,x,x,x,x,x,x
202,2015-10-27,1361,2136,-,20.2,11.6,20.2,6.0,58.0,북서,13.3,1007.3,0,x,x,x,x,x,x,x
203,2015-10-28,1361,2143,-,18.5,-4.9,18.4,0.0,20.0,북서,14.4,1019.3,0,x,x,x,x,x,x,x
