date,avg_scallion,avgY_scallion
2018-09-21,4852,3052
2018-09-27,4791,3137
2018-09-28,4785,3146
2018-10-02,4802,3133
2018-10-04,4780,3122
2018-10-05,4716,3114
2018-10-08,4694,3062
2018-10-10,4678,3039
2018-10-11,4666,3014
2018-10-12,4570,2996
2018-10-15,4578,2944
2018-10-16,4511,2912
2018-10-17,4449,2883
2018-10-18,3913,2866
2018-10-19,3901,2852
2018-10-22,3925,2790
2018-10-23,3880,2773
2018-10-24,3833,2745
2018-10-25,3614,2728
2018-10-26,3584,2710
2018-10-29,3555,2641
2018-10-30,3503,2623
2018-10-31,3465,2586
2018-11-01,3403,2557
2018-11-02,3364,2524
2018-11-05,3345,2510
2018-11-06,3281,2510
2018-11-07,3285,2529
2018-11-08,3331,2553
2018-11-09,3325,2580
2018-11-12,3340,2626
2018-11-13,3377,2637
2018-11-14,3383,2650
2018-11-15,3484,2657
2018-11-16,3453,2670
2018-11-19,3443,2698
2018-11-20,3433,2707
2018-11-21,3435,2713
2018-11-22,3337,2720
2018-11-23,3330,2729
2018-11-26,3313,2780
2018-11-27,3293,2807
2018-11-28,3249,2831
2018-11-29,3146,2846
2018-11-30,3081,2857
2018-12-03,3166,2907
2018-12-04,3166,2916
2018-12-05,3157,2924
2018-12-06,3223,2930
2018-12-10,3308,3002
2018-12-11,3308,3008
2018-12-12,3308,3022
2018-12-13,3143,3037
2018-12-14,3243,3044
2018-12-17,3243,3027
2018-12-18,3236,3013
2018-12-19,3215,3003
2018-12-20,3325,3003
2018-12-21,3253,2998
2018-12-24,3288,2971
2018-12-26,3271,2951
2018-12-27,3137,2931
2018-12-28,3255,2921
2018-12-31,3277,2898
2019-01-03,3306,2902
2019-01-04,3197,2912
2019-01-07,3289,2920
2019-01-08,3323,2910
2019-01-09,3306,2901
2019-01-10,3067,2900
2019-01-11,3028,2902
2019-01-14,3111,2865
2019-01-15,3082,2843
2019-01-16,3170,2830
2019-01-17,2844,2831
2019-01-18,2781,2831
2019-01-21,2844,2810
2019-01-22,2836,2815
2019-01-23,2825,2821
2019-01-24,2701,2827
2019-01-25,2687,2843
2019-01-28,2833,2972
2019-01-29,2841,2999
2019-01-30,2829,3014
2019-01-31,2879,3019
2019-02-01,2864,3024
2019-02-07,2705,3187
2019-02-08,2725,3248
2019-02-11,2865,3375
2019-02-12,2849,3400
2019-02-13,2836,3435
2019-02-14,2532,3456
2019-02-15,2523,3455
2019-02-18,2511,3475
2019-02-19,2510,3460
2019-02-20,2544,3433
2019-02-21,2473,3409
2019-02-22,2390,3374
2019-02-25,2376,3301
2019-02-26,2353,3298
2019-02-27,2352,3287
2019-02-28,2275,3275
2019-03-04,2358,3282
2019-03-05,2352,3281
2019-03-06,2352,3280
2019-03-07,2260,3295
2019-03-08,2241,3299
2019-03-11,2336,3274
2019-03-12,2342,3255
2019-03-13,2326,3218
2019-03-14,2188,3185
2019-03-15,2165,3153
2019-03-18,2182,3094
2019-03-19,2187,3088
2019-03-20,2185,3086
2019-03-21,2167,3082
2019-03-22,2161,3058
2019-03-25,2129,2976
2019-03-26,2104,2960
2019-03-27,2112,2953
2019-03-28,1946,2949
2019-03-29,1938,2944
2019-04-02,1975,2894
2019-04-03,1966,2875
2019-04-04,1925,2859
2019-04-05,1883,2842
2019-04-08,1864,2805
2019-04-09,1864,2801
2019-04-10,1868,2792
2019-04-11,2003,2788
2019-04-12,2029,2780
2019-04-15,1998,2741
2019-04-16,1984,2731
2019-04-17,1988,2723
2019-04-18,1984,2706
2019-04-19,1988,2687
2019-04-22,2022,2610
2019-04-23,1983,2601
2019-04-24,1983,2590
2019-04-25,1945,2580
2019-04-26,1942,2568
2019-04-29,1999,2523
2019-04-30,1999,2520
2019-05-02,1815,2520
2019-05-03,1803,2528
2019-05-07,1800,2588
2019-05-08,1785,2622
2019-05-09,1850,2648
2019-05-10,1875,2661
2019-05-13,1930,2710
2019-05-14,1942,2723
2019-05-15,1941,2735
2019-05-16,2050,2734
2019-05-17,2069,2726
2019-05-20,2070,2707
2019-05-21,2099,2704
2019-05-22,2104,2702
2019-05-23,2194,2702
2019-05-24,2247,2704
2019-05-27,2286,2715
2019-05-28,2294,2720
2019-05-29,2313,2742
2019-05-30,2584,2743
2019-05-31,2595,2743
2019-06-03,2646,2757
2019-06-04,2681,2758
2019-06-05,2666,2755
2019-06-07,2690,2763
2019-06-10,2690,2765
