날짜,현재기온,이슬점온도,체감온도,습도,풍속,해면기압
2014-12-23 14:00:00,6.5,-16.1,4.0,18,12.2,1026.1
2014-12-22 14:00:00,2.6,-11.7,-2.7,34,26.6,1022.4
2014-12-21 14:00:00,1.9,-17.1,-1.0,23,9.7,1021.6
2014-12-20 14:00:00,7.8,-3.1,4.3,46,23.4,1016.1
2014-12-19 14:00:00,7.9,-7.4,7.1,33,5.8,1029.3
2014-12-18 14:00:00,3.0,-24.7,-1.2,11,18.0,1031.5
2014-12-17 14:00:00,0.7,-17.1,-4.6,25,22.0,1019.7
2014-12-16 14:00:00,4.2,-13.1,0.2,27,18.7,1016.0
2014-12-15 14:00:00,9.5,-9.0,8.7,26,6.8,1027.1
2014-12-14 14:00:00,4.4,-17.2,1.2,19,13.7,1029.1
2014-12-13 14:00:00,4.4,-13.4,0.9,26,15.8,1023.7
2014-12-12 14:00:00,5.1,-11.9,1.3,28,19.1,1021.0
2014-12-11 14:00:00,9.7,-6.6,7.8,31,13.0,1018.9
2014-12-10 14:00:00,12.9,1.8,12.6,47,6.8,1022.9
2014-12-09 14:00:00,7.7,-13.3,5.7,21,11.2,1033.2
2014-12-08 14:00:00,5.8,-1.8,2.9,58,13.7,1027.7
2014-12-07 14:00:00,4.0,-12.0,0.9,30,12.6,1026.1
